,number,src_ip,dst_ip,proto,ip_pkt_len,ip_checksum_status,ip_ttl,ip_highest_layer,stream_index,src_port,dst_port,timestamp,time_delta,flags,tcp_flags_ack,tcp_flags_syn,tcp_flags_fin,tcp_flags_urg,tcp_checksum_status,icmp_type_code,icmp_checksum_status,label,label0,label1,label2,label3,label4,label5,label6
0,9,2886758740,2886758450,6,42,2,64,TELNET,0,1591,23,0,0,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
1,12,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,0.018249,0.017981,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
2,21,2886759188,3394085589,1,38,2,255,ICMP,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0
3,39,2886758594,2265463990,6,42,2,64,TELNET,1,19522,23,0.281259,0.261414,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
4,42,2886758594,2265463990,6,40,2,64,TCP,1,19522,23,0.299787,0.0174,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
5,54,2886758450,2886758740,6,48,2,255,TELNET,2,23,29231,0.000311,0.000311,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
6,63,3319443781,2886758450,6,41,2,64,TELNET,3,45077,23,0,0,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
7,69,3319443781,2886758450,6,40,2,64,TCP,3,45077,23,0.016415,0.016127,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
8,75,2886758450,3319443781,6,41,2,255,TELNET,3,23,45077,0.088961,0.00022,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
9,96,3319443781,2886758450,6,41,2,64,TELNET,3,45077,23,0.378908,0.070108,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
10,99,2886758740,2886758450,6,40,2,64,TCP,2,29231,23,0.549293,0.019632,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
11,111,2886758740,2886758450,6,41,2,64,TELNET,2,29231,23,0.749379,0.200086,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
12,114,2886758740,2886758450,6,40,2,64,TCP,2,29231,23,0.769248,0.019648,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
13,120,3319443781,2886758450,6,42,2,64,TELNET,3,45077,23,0.679609,0.130849,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
14,123,2886758740,2886758450,6,40,2,64,TCP,2,29231,23,0.859228,0.019615,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
15,132,2886758740,2886758450,6,40,2,64,TCP,2,29231,23,0.949221,0.019293,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
16,144,2886758740,2886758450,6,41,2,64,TELNET,2,29231,23,1.149456,0.200235,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
17,147,2886758740,2886758450,6,40,2,64,TCP,2,29231,23,1.169162,0.019461,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
18,150,3255302297,2886759188,6,53,2,64,TELNET,4,43459,23,0,0,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
19,153,2886758740,2886758450,6,41,2,64,TELNET,2,29231,23,1.239273,0.070111,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
20,168,2886758450,2886758740,6,41,2,255,TELNET,2,23,29231,1.429678,0.000227,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
21,174,2886758740,2886758450,6,41,2,64,TELNET,2,29231,23,1.519429,0.070102,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
22,177,2886758740,2886758450,6,40,2,64,TCP,2,29231,23,1.539308,0.019646,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
23,192,2886758740,2886758450,6,41,2,64,TELNET,2,29231,23,1.829366,0.070095,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
24,195,2886758740,2886758450,6,40,2,64,TCP,2,29231,23,1.849258,0.019645,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
25,201,2886758740,2886758450,6,40,2,64,TCP,2,29231,23,1.939227,0.019649,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
26,210,2886758740,2886758450,6,41,2,64,TELNET,2,29231,23,2.139313,0.200086,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
27,213,2886758740,2886758450,6,40,2,64,TCP,2,29231,23,2.159174,0.019629,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
28,246,2886758740,2886758450,6,40,2,64,TCP,2,29231,23,2.699288,0.019618,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
29,357,2886758450,3319443781,6,40,2,255,TCP,3,23,45077,5.244529,0.04467,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
30,360,3317062633,2886758706,6,40,2,64,TCP,5,44912,23,0.01909,0.018095,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
31,363,3317062633,2886758706,6,41,2,64,TELNET,5,44912,23,0.179182,0.160092,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
32,366,3317062633,2886758706,6,41,2,64,TELNET,5,44912,23,0.359398,0.160359,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
33,369,3317062633,2886758706,6,40,2,64,TCP,5,44912,23,0.379005,0.018839,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
34,372,2886758450,3319443781,6,40,2,255,TCP,3,23,45077,5.844455,0.045407,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
35,375,3317062633,2886758706,6,41,2,64,TELNET,5,44912,23,0.779104,0.400099,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
